SampleID,ENV_Temp,ENV_SECCHI,ENV_SAL_CTD,ENV_CHL_total,ENV_PO4,ENV_NH4,ENV_NO2,ENV_NO3,ENV_SI,ENV_BACTERIA,ENV_SYNECHOS,ENV_Micromonas,ENV_PNF_tot,ENV_HNF_tot,ENV_Day_length_Hours_light,Month,Season,Season_corr,Year,weeknum,monthnum,Depth
BL040126,14,14,37.9,1.1,0.2,0.3,0.3,1.5,1.8,854356,5927,9258,11451,329,9.8,jan,win,win,2004,5,1,1m
BL040223,12.9,7,37.2,1,0.2,0.7,0.2,1.6,0.8,700418,1780,3071,4924,1312,10.93,feb,spr,win,2004,9,2,1m
BL040322,12.9,12,37.2,1.1,0.2,0.3,0.3,2.8,2.5,1156460,10463,6884,8377,607,12.23,mar,spr,spr,2004,13,3,1m
BL040419,12.6,6,35.9,1.4,0.2,1.5,0.4,2.5,6.1,1046779,1411,1424,2266,1793,13.51,apr,spr,spr,2004,17,4,1m
BL040525,17,9,37,0.7,0.2,0.9,0.3,0.2,3.3,1117590,17222,865,3593,1117,14.83,may,sum,spr,2004,22,5,1m
BL040628,21.1,14,36.9,0.4,0.1,0.3,0.1,0.2,2.2,1874196,39447,966,2835,1599,15.18,jun,sum,sum,2004,27,6,1m
BL040719,24,24,36.9,0.4,0.1,1,0.2,0.1,1.4,1654834,38741,203,1228,1357,14.81,jul,sum,sum,2004,30,7,1m
BL040831,24.5,17,37.2,0.55,0.1,0.7,0.1,0.3,1.3,1685622,38741,4540,7245,2047,13.18,aug,aut,sum,2004,36,8,1m
BL040929,21.3,15,37.7,0.7,0.1,0.5,0.1,0.2,1.4,1243819,56187,381,3469,1748,11.86,sep,aut,aut,2004,40,9,1m
BL041019,19.2,12,37.5,0.3,0.1,0.5,0.1,0.4,1.4,1083724,30915.5,730,2811,822,10.94,oct,aut,aut,2004,43,10,1m
BL041116,16,11,36.8,0.7,0.2,1,1,0.4,1.8,923628,5644,449,1314,883,9.81,nov,win,aut,2004,47,11,1m
BL041214,14.5,15.5,37.2,0.4,0.2,1.3,0.3,1.3,2.5,715812,16856,3001,4768,664,9.18,dec,win,win,2004,51,12,1m
BL050120,13,19,37,0.5,0.2,1.1,0.2,1.1,2.6,582655,8253,4414,5853,420,9.61,jan,win,win,2005,4,1,1m
BL050215,12.1,13,37.7,1.3,0.2,1.2,0.2,2.6,2.9,952492,4387,8403,9976,505,10.58,feb,spr,win,2005,8,2,1m
BL050309,12.4,20,37.9,0.7,0.4,1.5,0.2,6.8,7.1,380997,4002,8403,12097,267,11.58,mar,spr,spr,2005,11,3,1m
BL050413,13,18,37.7,2,0.3,2.1,0.4,3.3,3.4,788163,4169,1543,2506,669,13.2,apr,spr,spr,2005,16,4,1m
BL050510,16,12.5,37.6,1.1,0.2,1.3,0.1,0.9,1.5,1610192,4233,722,1357,1158,14.32,may,sum,spr,2005,20,5,1m
BL050607,19.6,22,38.1,0.4,0.2,1,0.1,0.2,1.3,935943,19146,997,4367,2077,15.09,jun,sum,sum,2005,24,6,1m
BL050705,24,22,37.35,0.1,0.2,1.4,0.1,0.2,1.8,1127596,24823,505,1699,1528,15.12,jul,sum,sum,2005,28,7,1m
BL050803,24,20,36.6,0,0.2,0.9,0,0.1,1.5,803899,28575,163,1122,1347,14.37,aug,aut,sum,2005,32,8,1m
BL050913,26.1,19,35.85,0.3,0.2,1.2,0,0.3,1.3,1250747,37522,101,776,1281,12.64,sep,aut,aut,2005,38,9,1m
BL051004,21.5,17,35.1,0.6,0.2,1.5,0.1,2.4,1.6,885144,33866,573,2052,837,11.67,oct,aut,aut,2005,41,10,1m
BL051108,17.9,12,37.1,0.8,0.2,2.2,0.8,2.5,1.8,1100657,21840,694,1964,575,10.14,nov,win,aut,2005,46,11,1m
BL051213,13.9,15,37.8,0.6,0.2,1,0.1,1.2,1.9,691182,4013,1764,2904,909,9.2,dec,win,win,2005,51,12,1m
BL060111,12.6,14,38.3,0.6,0.2,1,0.2,2.1,2.7,748524,5837,7904,10214,592,9.37,jan,win,win,2006,2,1,1m
BL060207,12,15,37.3,0.5,0.2,0.5,0.2,2.3,2.4,502223,2373,6053,7853,450,10.25,feb,spr,win,2006,6,2,1m
BL060307,13,12.5,36.3,1.5,0.2,0.5,0.1,2,1.8,810099,1443,3561,5342,875,11.48,mar,spr,spr,2006,10,3,1m
BL060404,13.5,16,37.1,1,0.2,1.5,0.1,3.2,0.9,1099118,706,1602,2757,1021,12.79,apr,spr,spr,2006,14,4,1m
BL060516,18.4,10,37.1,2.5,0.1,1.1,0.1,0.5,0.1,1939619,26347,4842,8295,4192,14.53,may,sum,spr,2006,20,5,1m
BL060613,22.4,12,35.6,0.4,0.1,1.8,0.3,0.5,0.4,1244333,35406,356,2400,766,15.16,jun,sum,sum,2006,24,6,1m
BL060704,23.7,15,37.7,0.2,0,1.4,0.1,0.6,0.1,928760,46951,84,2171,2308,15.12,jul,sum,sum,2006,27,7,1m
BL060801,25.6,18,38,0.4,0.2,1.1,0,0.4,0.5,1607113,109296,349,2952,1389,14.44,aug,aut,sum,2006,31,8,1m
BL060912,24.6,16.5,37.7,0.2,0.1,0.4,0.3,0.2,0,757375,62088,256,1462,979,12.69,sep,aut,aut,2006,37,9,1m
BL061010,20.3,15,37.7,0.3,0.2,0.9,0,0.3,0.2,1052936,59420,339,1740,880,11.44,oct,aut,aut,2006,41,10,1m
BL061107,18.3,18,38.1,0.5,0.2,1.8,0.2,0.4,0.9,883604,12700,10468,12141,858,10.18,nov,win,aut,2006,45,11,1m
BL061211,16.5,17,39.1,0.7,0.1,1.5,0.1,0.4,0.3,846659,14175,1742,3309,818,9.22,dec,win,win,2006,50,12,1m
