ASV,08_2016_F4_1,08_2016_F4_2,09_2016_F4_1,09_2016_F4_2,10_2016_F4,11_2016_F4,12_2016_F4,01_2017_F4,02_2017_F4_1,02_2017_F4_2,03_2017_F4_2,03_2017_F4_3,03_2017_F4_4,04_2017_F4_1,04_2017_F4_2,05_2017_F4_1,05_2017_F4_2,06_2017_F4_1,06_2017_F4_2,07_2017_F4_1,07_2017_F4_2,07_2017_F4_3,08_2017_F4_1,08_2017_F4_2,09_2017_F4_1,09_2017_F4_2,10_2017_F4,11_2017_F4,12_2017_F4,01_2018_F4,02_2018_F4_1,02_2018_F4_2,03_2018_F4_1,03_2018_F4_2,03_2018_F4_3,04_2018_F4_1,04_2018_F4_2,04_2018_F4_3,04_2018_F4_4,05_2018_F4_1,05_2018_F4_2,06_2018_F4_1,06_2018_F4_2,06_2018_F4_3,07_2018_F4_1,07_2018_F4_2,08_2016_HG_1,08_2016_HG_2,09_2016_HG_1,09_2016_HG_2,10_2016_HG,11_2016_HG,12_2016_HG,01_2017_HG,02_2017_HG_1,02_2017_HG_2,03_2017_HG_1,03_2017_HG_2,03_2017_HG_3,03_2017_HG_4,04_2017_HG_1,04_2017_HG_2,05_2017_HG_1,05_2017_HG_2,06_2017_HG_1,06_2017_HG_2,07_2017_HG_1,07_2017_HG_2,07_2017_HG_3,07_2017_HG_4,08_2017_HG_1,08_2017_HG_2,09_2017_HG_1,09_2017_HG_2,10_2017_HG,11_2017_HG,12_2017_HG,01_2018_HG,02_2018_HG_1,02_2018_HG_2,03_2018_HG_1,03_2018_HG_2,03_2018_HG_3,04_2018_HG_1,04_2018_HG_2,04_2018_HG_3,04_2018_HG_4,05_2018_HG_1,05_2018_HG_2,06_2018_HG_1,06_2018_HG_2,06_2018_HG_3,07_2018_HG
asv1,13961,16267,16028,9712,11769,3291,6047,5212,726,1235,1876,4612,5002,1909,4635,4763,6931,10007,6415,14011,11222,9961,5068,4797,2483,4099,2278,4099,2123,1292,1505,2042,890,1144,1610,1243,2403,2663,2042,8393,12049,17447,14644,14478,5402,1399,15075,35017,12912,7809,8894,10225,903,5904,2203,5835,3588,4900,1281,5420,3793,1834,10254,16068,10742,3971,13228,24729,9384,12096,608,3074,2771,4946,3137,2221,1887,416,1038,1459,753,2165,893,1147,1929,1020,1850,762,3609,5050,4687,4121,3665
asv2,1176,841,638,741,1041,553,1895,930,168,410,779,1905,2222,934,2194,3192,6620,5646,2869,2017,850,1387,147,788,744,870,521,974,877,465,768,798,286,617,555,684,1126,1362,1873,5771,7258,1895,1640,1550,1269,2460,1656,7423,537,658,989,2789,280,2065,612,2119,1822,2517,492,2227,2078,825,5532,10663,7594,1958,5711,3211,4980,1550,194,362,823,1113,1134,1769,833,265,662,619,522,1452,556,700,1244,673,2069,1655,2586,1403,1532,1629,1457
asv3,6603,4805,3507,2373,5616,1157,4376,3778,280,718,1025,1780,1963,1064,2222,4060,5483,8186,3158,3959,3501,2492,1058,2070,1275,2654,1192,884,1149,666,791,663,339,550,739,848,1406,1495,840,2574,1870,475,1632,2414,1466,1557,13209,11977,3482,3125,1827,6083,434,3741,981,2968,2359,2613,582,870,1553,710,5129,6450,8201,4095,9725,5804,10934,10111,334,457,935,1342,658,445,775,139,421,452,491,713,361,465,603,588,1222,201,629,461,574,1320,2835
asv4,775,549,951,587,2743,3063,3893,3489,539,1034,1602,3768,3963,1337,3964,3358,3802,4436,3243,2184,448,2376,220,916,569,1602,3022,2469,1781,893,1367,1189,789,1176,1072,870,1535,1361,864,2593,1128,127,423,445,227,212,1308,4746,747,566,2072,3009,136,3222,1025,4353,2633,2100,867,2747,3246,953,5180,5018,4371,3518,3648,874,2509,1267,439,298,473,1497,1489,865,1230,413,922,963,756,1079,578,723,1164,880,1235,93,272,121,40,147,211
asv5,8709,7687,7073,4525,7945,2035,1083,927,58,140,146,268,279,85,350,813,1464,2624,1774,6439,4770,8522,10637,8541,14004,3717,3634,1000,343,152,130,118,86,110,100,89,132,110,338,1425,2074,1292,2062,2806,2435,332,1169,1448,4000,2002,3158,3348,120,961,245,738,285,228,133,186,238,121,1311,3984,3479,1414,2134,5781,2040,4836,1394,8270,11571,3297,1688,1848,499,167,363,600,309,459,245,307,389,224,340,896,762,602,618,1445,297
asv6,353,193,22,16,7,2,3,74,15,3,8,22,11,22,22,3845,1546,1524,1791,12093,3747,2184,42,38,107,9,24,43,123,59,76,72,83,81,73,90,65,103,1655,11935,14107,4390,7468,13811,3187,288,312,911,28,9,10,65,13,120,60,174,55,158,6,76,40,12,4050,11989,8689,1424,2348,8585,3099,1813,29,64,72,20,116,367,344,23,157,99,32,322,85,99,511,98,1153,14459,16278,8107,5154,6537,1129
asv7,1100,270,74,94,19,6,40,80,14,23,42,41,39,22,49,1821,2534,2368,5455,419,533,204,145,27,364,4,8,25,23,16,20,28,14,8,17,34,29,32,452,5045,11875,12194,630,617,2559,979,488,3327,53,18,10,53,15,93,59,104,69,61,11,67,62,26,1438,9516,3898,3567,3114,1868,3819,690,53,193,233,13,61,171,107,7,24,47,10,43,9,26,56,21,671,4152,3080,2341,2529,2453,1315
asv8,467,429,194,118,384,336,3174,2321,328,876,1936,2080,2659,618,2036,255,105,204,80,57,6,64,58,82,52,289,363,1136,1205,817,1379,1217,495,917,813,907,1503,1145,125,34,33,4,8,1,0,2,3410,3122,418,138,391,1185,173,2704,805,2993,4008,3730,567,1238,2309,617,638,631,178,104,139,17,167,706,250,38,60,243,485,646,1228,236,550,640,600,1268,495,519,846,600,516,11,12,0,0,0,35
asv9,115,168,72,58,494,737,2048,1049,136,350,712,1364,1016,452,1081,222,198,569,239,51,8,40,12,92,77,317,1264,2409,1117,774,1109,968,453,669,724,717,1045,1084,452,185,286,46,33,13,3,9,675,3428,329,117,471,3517,170,1283,318,940,851,610,205,731,793,333,450,728,635,661,399,39,555,263,560,58,148,1020,2189,1865,1348,333,993,1132,608,1045,458,713,953,635,604,132,144,25,7,7,91
asv10,0,0,0,0,0,1,2,0,0,0,0,4,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,1,26,13,64,127,81,24,20,14,20,149,136,90,3,0,8,3,0,5,0,3,23,9,3,17,0,172,18,21,132,826,11,141,21,25,17,6,0,0,2,30,232,83,1001,290,252,87,108,1567,1661,17,260,102,58,163,36,0,28,36,21
