ASV,Kingdom,Phylum,Class,Order,Family,Genus
sq1,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_I,SAR11_Clade_Ia
sq2,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster
sq3,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade_uc,SAR86_clade_uc
sq4,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster
sq5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter
sq6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantivirga
sq7,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia
sq8,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_I,SAR11_Clade_Ia
sq9,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_uc,Gammaproteobacteria_uc,Gammaproteobacteria_uc
sq10,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4,Arctic97B-4_uc,Arctic97B-4_uc
sq11,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Cand_Nitrosopumilus
sq12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter
sq13,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_I,SAR11_Clade_Ia
sq14,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_Clade_I,SAR11_Clade_Ia
sq15,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Nitrincolaceae_uc
sq16,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116_clade,OCS116_clade_uc
sq17,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Cand_Nitrosopumilus
sq18,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92_clade
sq19,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75_clade
sq20,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter
sq21,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster
sq22,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans
sq23,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43_clade
sq25,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa
sq26,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade_uc,SAR86_clade_uc
