SampleID,Date,day,Month,Depth,Week,Year,Latitude,Longitude,Mixed Layer Depth_1,Em-2d-1 (PAR),NAO,Chlorophyll A (ug/L),NO2 + NO3 (umol L-1),Salinity (PSU),Silicate (umol L-1),Temperature (C),Total Organic Carbon,Total Organic Nitrogen
2003_01_13,2003-01-13,8.417291538,January,Euphotic,3,Y_2003,50.25,4.216666667,10,6.050633,0.15,0.74,12.21,34.58,5.26,9.31,149.66,18.87
2003_03_31,2003-03-31,12.79266899,March,Euphotic,14,Y_2003,50.25,4.216666667,23.5,19.502931,1.34,1.34,3.29,35.24,5.02,9.27,162.48,19.15
2003_04_28,2003-04-28,14.49625304,April,Euphotic,18,Y_2003,50.25,4.216666667,27,37.820348,1.08,4.76,1.05,35.04,8.03,9.55,398.58,39.46
2003_05_26,2003-05-26,15.87413218,May,Euphotic,22,Y_2003,50.25,4.216666667,8.5,40.996234,-1.74,2.11,0.05,34.92,0.58,12.25,237.57,26.45
2003_06_09,2003-06-09,16.28408144,June,Euphotic,24,Y_2003,50.25,4.216666667,14,55.574582,1.17,0.41,0.05,34.85,0.46,14.19,329.33,42.32
2003_07_07,2003-07-07,16.24196456,July,Euphotic,28,Y_2003,50.25,4.216666667,8.5,32.838082,-0.86,1.68,0.04,35.04,0.75,16.56,427.2,53.26
2003_07_21,2003-07-21,15.80051369,July,Euphotic,30,Y_2003,50.25,4.216666667,10,36.891155,0.09,2.09,0.04,34.92,0.31,16.52,363.84,50.64
2003_08_04,2003-08-04,15.16264563,August,Euphotic,32,Y_2003,50.25,4.216666667,6,41.391626,-0.99,3.6,0.06,34.94,7.05,15.84,593.24,70.58
2003_08_25,2003-08-25,13.99401773,August,Euphotic,35,Y_2003,50.25,4.216666667,16.5,29.220395,0.35,0.73,0.13,35,2.67,17.7,301.73,43.86
2003_09_29,2003-09-29,11.83963904,September,Euphotic,40,Y_2003,50.25,4.216666667,31.5,15.694193,-3.68,1.76,3.41,35.07,5.23,16.08,383.6,56.32
2003_10_06,2003-10-06,11.40296406,October,Euphotic,41,Y_2003,50.25,4.216666667,31.5,13.907429,0.31,1.09,1.86,35.1,2.28,15.2,224.84,23.56
2003_12_08,2003-12-08,8.203675197,December,Euphotic,50,Y_2003,50.25,4.216666667,31.5,5.29436,-0.85,0.75,6.13,35.21,3.9,12.04,143.04,10.96
2004_03_01,2004-03-01,10.96101746,March,Euphotic,10,Y_2004,50.25,4.216666667,32,21.650486,0.2,0.76,6.91,35.3,3.44,9.16,149.66,18.87
2004_03_15,2004-03-15,11.84362656,March,Euphotic,12,Y_2004,50.25,4.216666667,16.5,17.605062,-1.23,0.72,8.12,35.1,4.13,9.02,162.48,19.15
2004_05_03,2004-05-03,14.83282918,May,Euphotic,19,Y_2004,50.25,4.216666667,14,43.787078,1.07,1.41,0.13,35.24,0.81,12,398.58,39.46
2004_05_31,2004-05-31,16.08023062,May,Euphotic,23,Y_2004,50.25,4.216666667,15,42.983599,1.08,0.8,0.17,35.26,0.46,12.24,237.57,26.45
2004_06_14,2004-06-14,16.37708077,June,Euphotic,25,Y_2004,50.25,4.216666667,10,55.983087,-0.67,0.3,0.45,35.28,1.07,15.6,195.18,27.14
2004_06_21,2004-06-21,16.41560905,June,Euphotic,26,Y_2004,50.25,4.216666667,12,33.447779,-0.38,0.73,0.08,35.23,0.94,13.62,207.02,23.37
2004_07_26,2004-07-26,15.54659692,July,Euphotic,31,Y_2004,50.25,4.216666667,11.5,46.732423,-0.3,0.21,0.03,35.18,0.22,16.52,290.48,37.19
2004_08_23,2004-08-23,14.05313772,August,Euphotic,35,Y_2004,50.25,4.216666667,17,37.659139,-0.76,2.95,1.96,35.04,9.65,16.03,338.99,49.9
2004_10_04,2004-10-04,11.46522691,October,Euphotic,41,Y_2004,50.25,4.216666667,20,24.699502,2.51,1.91,6.07,34.99,4.27,14.03,238.66,30.4
2004_10_25,2004-10-25,10.18131108,October,Euphotic,44,Y_2004,50.25,4.216666667,9,14.514275,-2.18,0.84,10.32,34.99,10.3,13.54,186.78,22.91
2004_12_06,2004-12-06,8.2280738,December,Euphotic,50,Y_2004,50.25,4.216666667,5,4.478447,-0.55,0.96,14.93,34.13,7.66,11.58,102.52,12.95
2004_12_20,2004-12-20,8.030358545,December,Euphotic,52,Y_2004,50.25,4.216666667,32,4.74094,1.27,0.53,6.85,35.1,4.35,11.83,359.69,41.25
2005_01_24,2005-01-24,8.86217306,January,Euphotic,5,Y_2005,50.25,4.216666667,32.5,7.264992,1.82,0.63,9.5,35.14,5.13,10.55,143.73,19.53
2005_02_28,2005-02-28,10.83635406,February,Euphotic,10,Y_2005,50.25,4.216666667,27.5,11.792995,-2.25,0.63,8.73,35.11,4.68,8.61,145.58,18.07
2005_04_18,2005-04-18,13.90655568,April,Euphotic,17,Y_2005,50.25,4.216666667,22.5,31.058395,-1.29,3.01,5.53,35.17,7.42,9.93,293.13,45.04
2005_05_04,2005-05-04,14.83282918,May,Euphotic,19,Y_2005,50.25,4.216666667,5,44.898318,0.71,2.35,0.53,34.72,1.68,10.93,311.63,43.47
