sample_id,depth,year,month,day,replicate
SPOT-5m-2005-01-19-a,5m,2005,1,19,a
SPOT-5m-2005-03-16-a,5m,2005,3,16,a
SPOT-5m-2005-04-20-a,5m,2005,4,20,a
SPOT-5m-2005-05-21-a,5m,2005,5,21,a
SPOT-5m-2005-05-4-a,5m,2005,5,4,a
SPOT-5m-2005-06-14-a,5m,2005,6,14,a
SPOT-5m-2005-09-15-a,5m,2005,9,15,a
SPOT-5m-2005-10-20-a,5m,2005,10,20,a
SPOT-5m-2005-11-17-a,5m,2005,11,17,a
SPOT-5m-2005-12-13-a,5m,2005,12,13,a
SPOT-5m-2006-01-18-a,5m,2006,1,18,a
SPOT-5m-2006-02-22-a,5m,2006,2,22,a
SPOT-5m-2006-03-30-a,5m,2006,3,30,a
SPOT-5m-2006-04-19-a,5m,2006,4,19,a
SPOT-5m-2006-07-25-a,5m,2006,7,25,a
SPOT-5m-2006-08-24-a,5m,2006,8,24,a
SPOT-5m-2006-09-1-a,5m,2006,9,1,a
SPOT-5m-2006-10-1-a,5m,2006,10,1,a
SPOT-5m-2007-02-14-a,5m,2007,2,14,a
SPOT-5m-2007-04-4-a,5m,2007,4,4,a
SPOT-5m-2007-05-21-a,5m,2007,5,21,a
SPOT-5m-2007-06-16-a,5m,2007,6,16,a
SPOT-5m-2007-08-7-a,5m,2007,8,7,a
SPOT-5m-2007-09-20-a,5m,2007,9,20,a
SPOT-5m-2007-11-14-a,5m,2007,11,14,a
SPOT-5m-2007-12-17-a,5m,2007,12,17,a
SPOT-5m-2008-04-22-a,5m,2008,4,22,a
SPOT-5m-2008-05-14-a,5m,2008,5,14,a
SPOT-5m-2008-06-18-a,5m,2008,6,18,a
SPOT-5m-2008-07-9-a,5m,2008,7,9,a
SPOT-5m-2008-08-20-a,5m,2008,8,20,a
SPOT-5m-2009-04-23-a,5m,2009,4,23,a
SPOT-5m-2009-05-13-a,5m,2009,5,13,a
SPOT-5m-2009-06-18-a,5m,2009,6,18,a
SPOT-5m-2009-07-9-a,5m,2009,7,9,a
SPOT-5m-2009-08-19-a,5m,2009,8,19,a
SPOT-5m-2009-09-24-a,5m,2009,9,24,a
SPOT-5m-2009-12-23-a,5m,2009,12,23,a
SPOT-5m-2010-01-28-a,5m,2010,1,28,a
SPOT-5m-2010-02-11-a,5m,2010,2,11,a
SPOT-5m-2010-03-24-a,5m,2010,3,24,a
SPOT-5m-2010-04-27-a,5m,2010,4,27,a
SPOT-5m-2010-05-17-a,5m,2010,5,17,a
SPOT-5m-2010-06-29-a,5m,2010,6,29,a
SPOT-5m-2010-07-21-a,5m,2010,7,21,a
SPOT-5m-2010-08-11-a,5m,2010,8,11,a
SPOT-5m-2010-09-15-a,5m,2010,9,15,a
SPOT-5m-2010-10-21-a,5m,2010,10,21,a
SPOT-5m-2010-11-23-a,5m,2010,11,23,a
SPOT-5m-2010-12-16-a,5m,2010,12,16,a
SPOT-5m-2011-02-23-a,5m,2011,2,23,a
SPOT-5m-2011-03-15-a,5m,2011,3,15,a
SPOT-5m-2011-04-29-a,5m,2011,4,29,a
SPOT-5m-2011-05-24-a,5m,2011,5,24,a
SPOT-5m-2011-06-22-a,5m,2011,6,22,a
SPOT-5m-2011-07-20-a,5m,2011,7,20,a
SPOT-5m-2011-08-17-a,5m,2011,8,17,a
SPOT-5m-2011-09-28-a,5m,2011,9,28,a
SPOT-5m-2011-10-25-a,5m,2011,10,25,a
SPOT-5m-2011-11-29-a,5m,2011,11,29,a
SPOT-5m-2011-12-20-a,5m,2011,12,20,a
SPOT-5m-2012-01-26-a,5m,2012,1,26,a
SPOT-5m-2012-02-16-a,5m,2012,2,16,a
SPOT-5m-2012-03-22-a,5m,2012,3,22,a
SPOT-5m-2012-05-3-a,5m,2012,5,3,a
SPOT-5m-2012-06-20-a,5m,2012,6,20,a
SPOT-5m-2012-07-9-a,5m,2012,7,9,a
