"ASV_id","domain","phyla","class","order","family","genus","specie"
"00006f0784f7dbb2f162408abb6da629","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",""
"000c3ef2a4ff469d6650dc771f6e7b64","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"0014615dbc7bed50b074a0db764ca4f5","Bacteria","Planctomycetota","BD7-11","BD7-11","BD7-11","BD7-11",""
"001d7fe59fdb2c1a4747c4feb9a8f8ef","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","uncultured_organism"
"00232f374cfc930f3fffbaef0d0c6d80","Bacteria","Proteobacteria","Gammaproteobacteria","HgCo23","HgCo23","HgCo23",""
"002c48676e69d8d097e889b29522e75f","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","uncultured","uncultured_[Caedibacter]"
"002f95a1ea4d2dfebaa24a729b88ec57","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"0031a7a816c57cee74fe8e08d47b4ab6","Bacteria","","","","","",""
"00388366b55dd4edf42cc2ecacc844d1","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_delta"
"003e806b83ef609ed31c5ed9495fdee5","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","Candidatus_Puniceispirillum","uncultured_bacterium"
"003eb09dd476a085d83c79ff6986b547","Bacteria","Proteobacteria","Gammaproteobacteria","Ga0077536","Ga0077536","Ga0077536","uncultured_bacterium"
"003f84e3e3df22e353b00c0a3bfe19ca","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae","MD3-55",""
"0040f12a6dccfccc77e807433bcbbfbc","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)_clade",""
"0049c1e0f40b36031a64cb3d0b1e3439","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus",""
"0049ca91af2375fd5eeed3754f6381df","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"004df6318adef99fc6c11b0600617b8f","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter","uncultured_Alteromonadaceae"
"004f36aced7c149fc387472c29a3ff5d","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast","uncultured_diatom"
"004fddfa331355466f056bfd5ef0cae9","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast","uncultured_prymnesiophyte"
"00594497dfdc74e9b1ee5e8a4cafe350","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","","",""
"005a74c1ad32aaf0ce86eb7f5affba17","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast","Phalacroma_mitra"
"005e0e382cf794c32e587e2c38e99afa","Bacteria","Proteobacteria","Alphaproteobacteria","AT-s3-44","AT-s3-44","AT-s3-44","uncultured_bacterium"
"005f1b4a813701cf362c9c086e9a7e34","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas","uncultured_bacterium"
"00609852ce4bae775ac985c2a5a33658","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","Candidatus_Fritschea","Candidatus_Fritschea"
"0062e2a4d2f6bdbf5f24e86c20372606","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"00651373f4a0dc8ec618fe37595ca36b","Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus_Bealeia","uncultured_bacterium"
"0065e7e499f2d1256835d6c72994d6dd","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
"0068a4ba5cfaf99980f3975fff43b4e5","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
"00698915314427d2ec328dd73fb2af8d","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",""
"006af17b67417f2db2c9c2ea1b93546d","Bacteria","Planctomycetota","BD7-11","BD7-11","BD7-11","BD7-11","uncultured_Planctomycetaceae"
"0070f3b300214879f818e520326f67e1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Cytophaga_sp."
"007f3a67cc21ebfb49c01d8b1ad10adb","Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group","UBA10353_marine_group","UBA10353_marine_group","uncultured_marine"
"008117e2f706ed6b11982bf3b49016b3","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",""
"009257b156ab4a9dd2f0b0dd33100b7e","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","hydrothermal_vent"
"009407acd9c435b505ae0cf951afe000","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","uncultured","uncultured_bacterium"
"009daea5758c2bbb3fb3a613205aa270","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast","Emiliania_huxleyi"
